ImageId,Label
1,7
2,1
3,4
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,8
27,8
28,1
29,1
30,1
31,1
32,1
33,7
34,1
35,7
36,1
37,1
38,3
39,1
40,4
41,1
42,1
43,7
44,1
45,1
46,1
47,4
48,1
49,1
50,1
51,1
52,4
53,7
54,3
55,1
56,1
57,8
58,1
59,1
60,1
61,7
62,4
63,1
64,1
65,8
66,1
67,1
68,1
69,1
70,8
71,1
72,1
73,1
74,4
75,1
76,1
77,1
78,1
79,8
80,1
81,1
82,1
83,4
84,1
85,1
86,1
87,1
88,8
89,7
90,1
91,8
92,4
93,8
94,1
95,1
96,1
97,1
98,4
99,1
100,1
101,1
102,4
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,4
113,1
114,1
115,1
116,3
117,8
118,8
119,7
120,8
121,1
122,1
123,7
124,1
125,1
126,1
127,1
128,1
129,1
130,5
131,7
132,4
133,1
134,1
135,3
136,1
137,1
138,4
139,1
140,1
141,8
142,1
143,4
144,1
145,4
146,1
147,1
148,1
149,1
150,1
151,1
152,8
153,1
154,1
155,1
156,4
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,4
166,1
167,1
168,1
169,7
170,4
171,8
172,1
173,1
174,7
175,1
176,7
177,1
178,1
179,1
180,1
181,8
182,1
183,1
184,7
185,9
186,1
187,1
188,1
189,1
190,1
191,7
192,1
193,7
194,8
195,7
196,1
197,1
198,1
199,1
200,7
201,4
202,1
203,1
204,1
205,1
206,8
207,1
208,8
209,3
210,1
211,4
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,8
220,7
221,8
222,1
223,1
224,8
225,1
226,7
227,4
228,1
229,1
230,4
231,1
232,1
233,1
234,1
235,1
236,1
237,8
238,1
239,1
240,1
241,1
242,7
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,7
251,7
252,1
253,1
254,3
255,1
256,1
257,1
258,1
259,1
260,1
261,4
262,1
263,8
264,1
265,1
266,1
267,7
268,7
269,7
270,1
271,5
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,7
280,1
281,1
282,1
283,1
284,3
285,1
286,1
287,1
288,7
289,1
290,1
291,1
292,1
293,1
294,1
295,7
296,4
297,1
298,3
299,7
300,1
301,7
302,4
303,7
304,8
305,1
306,8
307,3
308,8
309,1
310,1
311,1
312,7
313,1
314,1
315,8
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,7
326,1
327,1
328,1
329,1
330,1
331,7
332,1
333,1
334,1
335,1
336,1
337,1
338,7
339,1
340,1
341,1
342,1
343,1
344,1
345,7
346,1
347,1
348,1
349,1
350,8
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,8
360,1
361,1
362,1
363,7
364,1
365,4
366,8
367,1
368,1
369,1
370,1
371,7
372,1
373,1
374,1
375,1
376,1
377,1
378,3
379,7
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,8
389,1
390,1
391,1
392,1
393,8
394,1
395,7
396,4
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,4
405,1
406,4
407,8
408,1
409,1
410,1
411,7
412,3
413,7
414,1
415,7
416,1
417,1
418,4
419,1
420,8
421,1
422,1
423,1
424,1
425,8
426,1
427,1
428,7
429,3
430,3
431,7
432,1
433,1
434,1
435,7
436,1
437,1
438,1
439,4
440,3
441,1
442,7
443,1
444,4
445,8
446,7
447,8
448,8
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,8
459,1
460,1
461,1
462,1
463,1
464,8
465,1
466,1
467,1
468,1
469,4
470,4
471,1
472,4
473,1
474,7
475,8
476,1
477,1
478,1
479,1
480,1
481,8
482,1
483,1
484,8
485,1
486,4
487,1
488,1
489,8
490,1
491,1
492,3
493,1
494,7
495,1
496,1
497,4
498,1
499,1
500,1
501,7
502,4
503,8
504,1
505,1
506,1
507,4
508,1
509,3
510,1
511,1
512,1
513,1
514,1
515,7
516,8
517,1
518,1
519,4
520,1
521,4
522,1
523,1
524,1
525,1
526,4
527,4
528,1
529,4
530,1
531,1
532,3
533,8
534,7
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,3
546,1
547,7
548,7
549,8
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,8
561,1
562,4
563,1
564,8
565,1
566,1
567,8
568,1
569,1
570,7
571,7
572,1
573,1
574,8
575,3
576,7
577,1
578,8
579,1
580,8
581,1
582,1
583,8
584,8
585,1
586,1
587,1
588,1
589,1
590,1
591,7
592,1
593,1
594,8
595,8
596,1
597,4
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,8
610,7
611,1
612,1
613,4
614,1
615,8
616,8
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,4
628,1
629,1
630,1
631,1
632,4
633,1
634,7
635,1
636,7
637,1
638,1
639,7
640,8
641,1
642,1
643,8
644,1
645,3
646,7
647,7
648,4
649,8
650,7
651,8
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,4
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,7
676,1
677,1
678,1
679,1
680,4
681,4
682,1
683,1
684,1
685,1
686,1
687,7
688,1
689,1
690,1
691,4
692,1
693,4
694,1
695,1
696,7
697,1
698,1
699,1
700,1
701,4
702,3
703,8
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,7
713,4
714,1
715,1
716,1
717,8
718,1
719,1
720,8
721,1
722,1
723,1
724,1
725,1
726,1
727,4
728,1
729,1
730,7
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,7
739,1
740,7
741,7
742,7
743,4
744,1
745,1
746,1
747,1
748,1
749,1
750,8
751,3
752,1
753,1
754,7
755,8
756,1
757,1
758,1
759,8
760,8
761,1
762,1
763,8
764,8
765,1
766,1
767,1
768,1
769,1
770,1
771,4
772,4
773,1
774,1
775,1
776,4
777,1
778,8
779,1
780,8
781,1
782,3
783,1
784,1
785,1
786,4
787,1
788,1
789,1
790,1
791,1
792,3
793,1
794,1
795,7
796,8
797,1
798,1
799,4
800,1
801,1
802,1
803,4
804,1
805,7
806,7
807,1
808,7
809,1
810,1
811,1
812,1
813,1
814,1
815,1
816,8
817,1
818,1
819,1
820,1
821,1
822,1
823,8
824,1
825,1
826,4
827,1
828,1
829,7
830,1
831,7
832,1
833,8
834,1
835,1
836,4
837,8
838,1
839,7
840,1
841,3
842,1
843,3
844,1
845,8
846,8
847,1
848,8
849,1
850,1
851,1
852,1
853,1
854,1
855,1
856,1
857,1
858,8
859,8
860,1
861,3
862,1
863,8
864,1
865,1
866,1
867,7
868,1
869,1
870,4
871,7
872,1
873,1
874,1
875,1
876,1
877,7
878,4
879,1
880,1
881,1
882,1
883,1
884,1
885,8
886,1
887,4
888,1
889,1
890,1
891,1
892,1
893,7
894,3
895,1
896,8
897,8
898,1
899,8
900,4
901,1
902,1
903,1
904,1
905,4
906,1
907,1
908,7
909,1
910,1
911,1
912,1
913,1
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,4
923,1
924,1
925,8
926,1
927,1
928,7
929,1
930,1
931,1
932,8
933,1
934,1
935,8
936,1
937,1
938,1
939,1
940,1
941,1
942,8
943,4
944,4
945,1
946,1
947,3
948,8
949,1
950,8
951,1
952,3
953,1
954,1
955,4
956,1
957,1
958,8
959,1
960,8
961,1
962,7
963,7
964,1
965,1
966,1
967,1
968,1
969,1
970,1
971,1
972,8
973,1
974,7
975,1
976,1
977,1
978,4
979,1
980,7
981,1
982,1
983,1
984,1
985,1
986,1
987,3
988,1
989,1
990,1
991,1
992,1
993,1
994,1
995,1
996,1
997,1
998,7
999,8
1000,1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,7
1008,4
1009,1
1010,1
